TpDocumento;Faixa;RBT12 REF;DE;ATE;Aliquota;Desconto;ISS_ICMS
ANEXO 1;1;180.000,00;;180.000,00;0,04000;;0,34000
ANEXO 1;2;360.000,00;180.000,00;360.000,00;0,07300;5.940,00;0,34000
ANEXO 1;3;720.000,00;360.000,00;720.000,00;0,09500;13.860,00;0,33500
ANEXO 1;4;1.800.000,00;720.000,00;1.800.000,00;0,10700;22.500,00;0,33500
ANEXO 1;5;3.600.000,00;1.800.000,00;3.600.000,00;0,14300;87.300,00;0,33500
ANEXO 1;6;4.800.000,00;3.600.000,00;4.800.000,00;0,19000;378.000,00;
ANEXO 2;1;180.000,00;;180.000,00;0,04500;;0,32000
ANEXO 2;2;360.000,00;180.000,00;360.000,00;0,07800;5.940,00;0,32000
ANEXO 2;3;720.000,00;360.000,00;720.000,00;0,10000;13.860,00;0,32000
ANEXO 2;4;1.800.000,00;720.000,00;1.800.000,00;0,11200;22.500,00;0,32000
ANEXO 2;5;3.600.000,00;1.800.000,00;3.600.000,00;0,14700;85.500,00;0,32000
ANEXO 2;6;4.800.000,00;3.600.000,00;4.800.000,00;0,30000;720.000,00;
ANEXO 3;1;180.000,00;;180.000,00;0,06000;;0,33500
ANEXO 3;2;360.000,00;180.000,00;360.000,00;0,11200;9.360,00;0,32000
ANEXO 3;3;720.000,00;360.000,00;720.000,00;0,13500;17.640,00;0,32500
ANEXO 3;4;1.800.000,00;720.000,00;1.800.000,00;0,16000;35.640,00;0,32500
ANEXO 3;5;3.600.000,00;1.800.000,00;3.600.000,00;0,21000;125.640,00;0,33500
ANEXO 3;6;4.800.000,00;3.600.000,00;4.800.000,00;0,33000;648.000,00;
ANEXO 4;1;180.000,00;;180.000,00;0,04500;;0,44500
ANEXO 4;2;360.000,00;180.000,00;360.000,00;0,09000;8.100,00;0,40000
ANEXO 4;3;720.000,00;360.000,00;720.000,00;0,10200;12.420,00;0,40000
ANEXO 4;4;1.800.000,00;720.000,00;1.800.000,00;0,14000;39.780,00;0,40000
ANEXO 4;5;3.600.000,00;1.800.000,00;3.600.000,00;0,22000;183.780,00;0,40000
ANEXO 4;6;4.800.000,00;3.600.000,00;4.800.000,00;0,33000;828.000,00;
ANEXO 5;1;180.000,00;;180.000,00;0,15500;;0,14000
ANEXO 5;2;360.000,00;180.000,00;360.000,00;0,18000;4.500,00;0,17000
ANEXO 5;3;720.000,00;360.000,00;720.000,00;0,19500;9.900,00;0,19000
ANEXO 5;4;1.800.000,00;720.000,00;1.800.000,00;0,20500;17.100,00;0,21000
ANEXO 5;5;3.600.000,00;1.800.000,00;3.600.000,00;0,23000;62.100,00;0,23500
ANEXO 5;6;4.800.000,00;3.600.000,00;4.800.000,00;0,30500;540.000,00;
